experimento	fecha	cols	rows	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
8103HTa	20220724 003434	346	1519185	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.217568510058918	0.528255877610354	137	3776	26	0.0162360931008035	-1	103717000	11
8103HTa	20220724 004601	346	1519185	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0773165723221609	0.922281438046775	427	6759	64	0.0162939617510542	-1	115687000	12
8103HTa	20220724 010522	346	1519185	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.037628209553659	0.201583816682978	1003	17351	294	0.0157910199742868	-1	117366000	13
8103HTa	20220724 011612	346	1519185	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.255102304321481	0.780642703016929	805	2605	19	0.0126382100363301	-1	97866000	14
8103HTa	20220724 013250	346	1519185	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0213765847415198	0.123239691345952	318	801	231	0.0128977334409674	-1	116109000	15
8103HTa	20220724 014141	346	1519185	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.19429428267933	0.239785998759908	353	18604	62	0.0156602498845195	-1	112852000	16
8103HTa	20220724 020725	346	1519185	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200126457833177	0.167349526280531	1017	10370	419	0.01547793185164	-1	118412000	17
8103HTa	20220724 023334	346	1519185	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200128731409637	0.946966485955046	1021	12090	434	0.0151921917114277	-1	117488000	18
8103HTa	20220724 025455	346	1519185	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200091571111962	0.100563028681496	285	9910	533	0.0163007883061127	-1	118099000	19
8103HTa	20220724 031713	346	1519185	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200032309028028	0.995244478492312	16	7884	826	0.0144917744635568	-1	116215000	20
8103HTa	20220724 034038	346	1519185	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200092810055914	0.122874064111991	787	11897	555	0.0158604807839732	-1	117833000	21
8103HTa	20220724 041303	346	1519185	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200174290174426	0.465256268385069	580	8534	359	0.0158011854972221	-1	117945000	22
8103HTa	20220724 043927	346	1519185	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200535792103755	0.905708921121095	1024	4847	287	0.0149655951220125	-1	116073000	23
8103HTa	20220724 045644	346	1519185	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0459724233363173	0.411283308967277	1024	12004	151	0.015740682054522	-1	116592000	24
8103HTa	20220724 052319	346	1519185	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200484488191012	0.999054284919306	574	9785	414	0.0138790497691454	-1	116914000	25
8103HTa	20220724 054512	346	1519185	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200517387718307	0.117837171842118	452	7338	476	0.0153727139834734	-1	116872000	26
8103HTa	20220724 061249	346	1519185	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200323899598395	0.684983213457692	1024	19971	575	0.0152421016999183	-1	117973000	27
8103HTa	20220724 064707	346	1519185	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200053045250551	0.11409397857298	20	19989	1227	0.0151804387702845	-1	118027000	28
8103HTa	20220724 073731	346	1519185	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200037476140647	0.344745292566897	16	14079	1245	0.0136682900770196	-1	117923000	29
8103HTa	20220724 080906	346	1519185	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200041443835549	0.260458793064793	1019	19959	607	0.0166197712648524	-1	117665000	30
8103HTa	20220724 084543	346	1519185	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200152925590497	0.557412171190746	1021	10191	402	0.0158254844999212	-1	117100000	31
8103HTa	20220724 091829	346	1519185	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0204764680902387	0.983039583270667	1024	19926	756	0.0162399123170917	-1	117024000	32
8103HTa	20220724 094319	346	1519185	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200368639664545	0.722155248364186	28	10	1063	0.0129273648735015	-1	113347000	33
8103HTa	20220724 101215	346	1519185	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200042389293753	0.748084680037247	140	19999	598	0.0154372691594567	-1	117520000	34
8103HTa	20220724 104236	346	1519185	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.020014592627421	0.385165048681526	213	9728	385	0.0157286534906426	-1	118200000	35
